precio,expensas,direccion,localidad,superficie_total,superficie_cubierta,cantidad_de_ambiente,cantidad_de_banios,cantidad_de_dormitorios,antiguedad,disposicion,orientacion,luminosidad,cantidad_de_cocheras,cantidad_de_toiletes,estado_general,aire_acondicionado,alarma,amoblado,caldera,calefacción,cancha_deportes,cocina_equipada,frigobar,lavarropas,lavavajillas,microondas,quincho,sum,sauna,secarropas,termotanque,vigilancia,ascensor,caja_fuerte,internet,laundry,servicio_de_limpieza,balcon,dependencia_servicio,dormitorio_en_suite,jardin,lavadero,patio,terraza,apto_profesional,gimnasio,hidromasaje,parrilla,permite_mascotas,pileta,sala_de_juegos,solarium,uso_comercial,amoblado,acceso_movilidad_reducida,provincia
USD 10.000,,Salguero 3031,"Palermo Chico, Palermo",250,220,6,3,3,20 años,Frente,NE,Muy luminoso,4,1,,True,True,True,True,True,,True,,True,True,True,True,True,True,True,,True,True,True,True,True,,True,True,True,,True,,,,True,True,True,,True,True,True,,True,True,Ciudad Autonoma de Buenos Aires
USD 10.000,,Ayacucho al 2100,"Recoleta, Capital Federal",440,340,6,4,4,45 años,Frente,E,Muy luminoso,2,,,True,True,True,,True,,,,,,,,,,,,True,,,,,,True,True,True,,True,,True,,,True,True,True,True,,True,,True,,Ciudad Autonoma de Buenos Aires
USD 10.000, $ 1.000.000,Demaria al 4500,"Palermo Nuevo, Palermo",400,400,4,4,4,30 años,Frente,E,Muy luminoso,3,1,,,,,,,True,,,,,,True,True,True,,,True,,,,True,,,True,True,,True,,,,True,True,True,True,True,,True,,,,Ciudad Autonoma de Buenos Aires
USD 10.000, $ 950.000,Demaria 4500 CABA,"Palermo Nuevo, Palermo",390,350,6,3,3,20 años,Frente,NE,Muy luminoso,3,1,,True,,True,True,True,,True,,True,True,True,,True,True,True,,True,True,True,True,True,,True,True,True,,True,,,,True,True,True,True,True,True,True,,True,True,Ciudad Autonoma de Buenos Aires
USD 10.000,,Ramsay al 2000,"Belgrano, Capital Federal",390,360,6,5,5,A estrenar,Frente,E,,4,1,,,,,,,,,,,,,,True,True,,,True,,,True,,,True,True,True,,True,,,,True,,,,True,,True,,,,Ciudad Autonoma de Buenos Aires
USD 10.000,,4 Ambientes EN Forum Alcorta -ramsay al 2000,"Belgrano, Capital Federal",400,400,6,3,5,4 años,Frente,,Muy luminoso,2,1,,,,,,,,,,,,,,True,,,,,,,,,,True,True,True,,True,,,,True,,True,,,,True,,,,Ciudad Autonoma de Buenos Aires
USD 10.000, $ 209.000,Gelly Obes al 2200,"Recoleta, Capital Federal",480,420,6,4,4,90 años,Frente,E,Muy luminoso,2,,,,,,,True,,,,,,,,,,,,,,,,,,True,True,True,,True,,,,,True,,True,,,,,,,Ciudad Autonoma de Buenos Aires
USD 10.000, $ 250.000,Duplex 4 amb + Dep.-lav-4 Cocheras-seg 24 Hs.-vista,"Puerto Madero, Capital Federal",410,200,5,3,3,5 años,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ciudad Autonoma de Buenos Aires
USD 10.000,,Triplex en Venta y Alquiler en Palermo 4 dormitorios Juez Tedin 3100,"Palermo Chico, Palermo",500,400,5,4,4,38 años,Frente,,,2,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,True,,,,,,,,,,,,Ciudad Autonoma de Buenos Aires
USD 10.000,,Libertador al 4400,"Las Cañitas, Palermo",390,390,5,4,4,32 años,Frente,E,,3,1,,True,,,,,,,,,,,,True,True,,,,,,,,,True,,True,,True,,,,True,True,,True,True,,True,,,,Ciudad Autonoma de Buenos Aires
USD 10.000, $ 90.000,Castañeda al 2000 - Torre Forum Alcorta,"Belgrano, Capital Federal",440,400,7,5,4,10 años,Frente,NE,Muy luminoso,2,1,,True,,,,True,True,,,,,,True,True,True,,,True,,,,True,,True,True,True,,True,,True,,True,True,True,,True,,True,,,,Ciudad Autonoma de Buenos Aires
