localidad,provincia,precio_m2_medio,precio_m2_cubierto_medio,precio_medio,precio_m2_medio_prov,precio_m2_cubierto_medio_prov
"Del Viso, Pilar",Zona Note (GBA),7.50501114405448,9.742079773718865,20690.408720379146,50.08966522696906,397.94240157641303
"Echesortu, Rosario",Santa Fe,5.00153933906221,5.3535782034546715,1930.6040579710145,21.379865753914114,24.108624119867923
"El Cantón / Golf, El Cazador",Zona Note (GBA),3.19482697001023,6.646464629129561,20690.408720379146,50.08966522696906,397.94240157641303
"El Cantón / Islas, El Cazador",Zona Note (GBA),4.0018908306988,7.423929259727032,20690.408720379146,50.08966522696906,397.94240157641303
"El Cantón / Norte, El Cazador",Zona Note (GBA),3.528677914736554,7.435535439619374,20690.408720379146,50.08966522696906,397.94240157641303
"El Cantón, El Cazador",Zona Note (GBA),3.9414124634080445,8.373696350230812,20690.408720379146,50.08966522696906,397.94240157641303
"El Naudir, El Cazador",Zona Note (GBA),3.0763401330656683,7.094527772481178,20690.408720379146,50.08966522696906,397.94240157641303
"El Palmar, Nordelta",Zona Note (GBA),9.985830022776698,11.99059889997696,20690.408720379146,50.08966522696906,397.94240157641303
"Ezeiza, GBA Sur",Zona Sur (GBA),9.725120399770843,17.112210907124688,15966.021593447505,205.8341571193392,428.3166232419916
"General Paz, Córdoba",Cordoba,8.61131771759421,9.06564175608265,5245.6845846290535,27.030736901891288,28.70833224234921
"General San Martín, GBA Norte",Zona Note (GBA),8.546864632963322,8.884019099627821,20690.408720379146,50.08966522696906,397.94240157641303
"Godoy Cruz, Mendoza",Mendoza,5.3681247339906655,6.0607361419228445,16983.651898734177,45.586021253378796,67.36792434493884
"Gregorio de Laferrere, La Matanza",Zona Oeste (GBA),4.2879975498638006,4.90085995338218,8036.966795366795,326.18953727018226,345.5260697825962
"Haedo, Morón",Zona Oeste (GBA),6.85281157923971,7.809114558254172,8036.966795366795,326.18953727018226,345.5260697825962
"Haras Santa María, Escobar",Zona Note (GBA),2.9756586720682336,6.4693535711494565,20690.408720379146,50.08966522696906,397.94240157641303
"Highland Park, Manuel Alberti",Zona Note (GBA),6.891325152688626,10.451063872863454,20690.408720379146,50.08966522696906,397.94240157641303
"Hurlingham, Hurlingham",Zona Oeste (GBA),4.054343189343189,6.409622631201915,8036.966795366795,326.18953727018226,345.5260697825962
"Jardines de San Isidro, San Isidro",Zona Note (GBA),10.489482315044903,11.484621942422454,20690.408720379146,50.08966522696906,397.94240157641303
"José León Suárez, General San Martín",Zona Note (GBA),5.731170639720168,6.395454269845952,20690.408720379146,50.08966522696906,397.94240157641303
"La Lucila, Vicente López",Zona Note (GBA),17.320949609670784,19.438930101444562,20690.408720379146,50.08966522696906,397.94240157641303
"La Plata, GBA Sur",Zona Sur (GBA),8.540401797367524,15.018527507039583,15966.021593447505,205.8341571193392,428.3166232419916
