provincia,localidad,cantidad_de_ambiente,precio_medio,precio_m2_cubierto_medio_localidad,precio_m2_cubierto_medio_prov
Zona Norte (GBA),"Pilar, GBA Norte",2,467.14285714285717,9.763492063492064,12.133321183116772
Zona Norte (GBA),"Pilar, GBA Norte",8,2200.0,6.666666666666667,12.133321183116772
Zona Norte (GBA),"Pilar, GBA Norte",1,408.3333333333333,11.853408029878617,12.133321183116772
Zona Norte (GBA),"Pilar, Pilar",4,1385.3333333333333,8.573745484368173,12.133321183116772
Zona Norte (GBA),"Pilar, Pilar",5,1212.5,6.359820632798574,12.133321183116772
Zona Norte (GBA),"Pilar, Pilar",7,1300.0,6.6909090909090905,12.133321183116772
Zona Norte (GBA),"Pilar, Pilar",6,2400.0,2.9464285714285716,12.133321183116772
Zona Norte (GBA),"Pilar, Pilar",3,523.6363636363636,7.6022876346978725,12.133321183116772
Zona Norte (GBA),"Pilar, Pilar",2,423.6842105263158,8.55156004380239,12.133321183116772
Zona Norte (GBA),"Pilar, Pilar",1,366.0,12.481338481338481,12.133321183116772
Zona Norte (GBA),"Pilara, Pilar",5,3785.714285714286,12.32221274070068,12.133321183116772
Zona Norte (GBA),"Pilara, Pilar",4,1463.157894736842,11.819154548246877,12.133321183116772
Zona Norte (GBA),"Pilara, Pilar",3,1229.7297297297298,15.585717244742312,12.133321183116772
Zona Norte (GBA),"Pilara, Pilar",2,891.6666666666666,13.55480936404868,12.133321183116772
Zona Sur (GBA),"Piñeyro, Avellaneda",4,490.0,4.9,18.825498964718964
Zona Sur (GBA),"Piñeyro, Avellaneda",3,403.3333333333333,6.300836320191159,18.825498964718964
Zona Sur (GBA),"Piñeyro, Avellaneda",2,306.6666666666667,7.340579710144927,18.825498964718964
Zona Sur (GBA),"Piñeyro, Avellaneda",1,280.0,101.07916666666667,18.825498964718964
Zona Norte (GBA),"Portezuelo, Nordelta",3,1040.8823529411766,12.453874327081865,12.133321183116772
Zona Norte (GBA),"Portezuelo, Nordelta",7,1600.0,6.481481481481482,12.133321183116772
Zona Norte (GBA),"Portezuelo, Nordelta",5,1250.0,10.384615384615385,12.133321183116772
Zona Norte (GBA),"Portezuelo, Nordelta",2,758.2352941176471,13.960361404566603,12.133321183116772
Zona Norte (GBA),"Portezuelo, Nordelta",1,590.0,10.785714285714285,12.133321183116772
Zona Norte (GBA),"Portezuelo, Nordelta",4,1400.0,11.377332485156913,12.133321183116772
Misiones,"Posadas, Misiones",8,1300.0,2.7075418537436606,5.747800153819538
Misiones,"Posadas, Misiones",2,270.0,6.329687952164047,5.747800153819538
Misiones,"Posadas, Misiones",5,566.6666666666666,4.527714932126697,5.747800153819538
Misiones,"Posadas, Misiones",3,725.0,7.519688644688644,5.747800153819538
Misiones,"Posadas, Misiones",4,714.0,5.730534265337416,5.747800153819538
Misiones,"Posadas, Misiones",1,135.0,4.821428571428571,5.747800153819538
Zona Norte (GBA),"Praia, Nordelta",3,1311.111111111111,13.874229385568709,12.133321183116772
Zona Norte (GBA),"Praia, Nordelta",1,800.0,10.06614897900489,12.133321183116772
Zona Norte (GBA),"Praia, Nordelta",2,800.0,5.555555555555555,12.133321183116772
Zona Norte (GBA),"Praia, Nordelta",4,1400.0,14.285714285714286,12.133321183116772
Cordoba,"Providencia, Córdoba",2,316.1111111111111,6.4127204585537925,16.418871854486028
Cordoba,"Providencia, Córdoba",3,283.3333333333333,4.823529411764706,16.418871854486028
Cordoba,"Providencia, Córdoba",4,280.0,4.666666666666667,16.418871854486028
Cordoba,"Providencia, Córdoba",5,400.0,6.153846153846154,16.418871854486028
Cordoba,"Providencia, Córdoba",7,370.0,4.933333333333334,16.418871854486028
Zona Norte (GBA),"Puerto Escondido, Nordelta",4,1266.6666666666667,12.854839081254175,12.133321183116772
Zona Norte (GBA),"Puerto Escondido, Nordelta",3,1220.0,14.727053819933076,12.133321183116772
Zona Norte (GBA),"Puerto Escondido, Nordelta",2,735.7142857142857,13.039315508496577,12.133321183116772
Santa Fe,"Puerto Norte, Rosario",2,680.0,9.425691742972848,8.711410816835214
Santa Fe,"Puerto Norte, Rosario",5,1166.6666666666667,8.334666405082777,8.711410816835214
Santa Fe,"Puerto Norte, Rosario",3,851.6666666666666,9.400898646277406,8.711410816835214
Santa Fe,"Puerto Norte, Rosario",4,1000.0,10.204081632653061,8.711410816835214
Santa Fe,"Puerto Norte, Rosario",1,459.6875,8.574077625685078,8.711410816835214
Zona Norte (GBA),"Puertos, El Cazador",6,2231.25,10.354466727108026,12.133321183116772
