precio,expensas,direccion,localidad,superficie_total,superficie_cubierta,cantidad_de_ambiente,cantidad_de_banios,cantidad_de_dormitorios,antiguedad,disposicion,orientacion,luminosidad,cantidad_de_cocheras,cantidad_de_toiletes,estado_general,aire_acondicionado,alarma,amoblado,caldera,calefacción,cancha_deportes,cocina_equipada,frigobar,lavarropas,lavavajillas,microondas,quincho,sum,sauna,secarropas,termotanque,vigilancia,ascensor,caja_fuerte,internet,laundry,servicio_de_limpieza,balcon,dependencia_servicio,dormitorio_en_suite,jardin,lavadero,patio,terraza,apto_profesional,gimnasio,hidromasaje,parrilla,permite_mascotas,pileta,sala_de_juegos,solarium,uso_comercial,amoblado,acceso_movilidad_reducida,provincia
$ 50.000, $ 20.000,Nueva Córdoba,"Nueva Córdoba, Córdoba",15,15,,1,,A estrenar,,,,3,1,,,True,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
$ 50.000,,Mariano Moreno 973,"Observatorio, Córdoba",535,535,1,,,A estrenar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
$ 50.000, $ 8.000,AV RAFAEL NUÑEZ ,"Cerro de las Rosas, Córdoba",6,6,1,2,,15 años,,,Muy luminoso,,,,,True,,,,,,,,,,,,,,,True,,,True,,True,,,,,,,,True,,,,,,,,True,,True,Cordoba
USD 25.000, $ 30.000,San Martín 70,"Centro, Córdoba",45,45,1,,,40 años,,,Luminoso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,True,,,Cordoba
$ 50.000, $ 38.000,San Martín  100 1°,"Centro, Córdoba",40,40,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,Cordoba
$ 50.000,,RUTA NACIONAL 19 1,"Palmar, Córdoba",15000,,1,,,A estrenar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
$ 50.000,,Marcelo t Alvear 465,"Centro, Córdoba",55,55,,,1,20 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
USD 9.000, $ 35.000,la rioja 33,"Centro, Córdoba",24,24,1,1,,50 años,,,,,,,,,,,,,,,,,,,,,,,,True,,,,True,,,,,,,,,,,,,,,,,,,Cordoba
$ 50.000,,SAN MARTIN 189,"Centro, Córdoba",30,30,2,,,A estrenar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
$ 50.000,,JUSTO Juan B. 3305,"Alta Córdoba, Córdoba",25,25,,,,A estrenar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
$ 50.000, $ 50.000,Obispo Trejo 1000,"Nueva Córdoba, Córdoba",70,70,4,2,2,14 años,,,,,,,True,,True,,,,,,,,,,,,,,,True,,True,,,True,,,,,,,,,,True,,,,,,True,,Cordoba
$ 50.000,,Ruta Provincial E,"Villa Catalina, Río Ceballos",500,90,4,1,2,A estrenar,,,Muy luminoso,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,Cordoba
$ 50.000,,Boulevard San Juan 400,"Centro, Córdoba",8,8,,,,30 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
$ 50.000,,4 de Enero 98,"Costa Azul, Villa Carlos Paz",120,105,4,2,2,19 años,Frente,NO,Muy luminoso,1,1,,True,True,True,,True,True,True,,,,True,True,,,,True,True,,,True,,True,True,True,True,,,True,,,,,True,,True,,True,,True,,Cordoba
USD 55,,Polo 52 Autopista Cordoba-rosario a 500 m Circunvalación,"Córdoba, Córdoba",4000,2,,,,A estrenar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
$ 55.000,,Brasil 134,"Nueva Córdoba, Córdoba",,,,,,A estrenar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
$ 55.000,,Barrio Santa Isabel Valle Hermoso,"Santa Isabel, Valle Hermoso",15000,500,4,,2,10 años,,,Muy luminoso,7,,,,True,True,,True,True,True,,,,,True,,,,,True,,,True,,,True,,,,,True,,,,,True,True,True,True,,,True,,Cordoba
$ 55.000,,Octavio Pinto ,"Villa Cabrera, Córdoba",9,9,,,,20 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
$ 55.000, $ 15.000,Perú 148,"Nueva Córdoba, Córdoba",13,13,,,,10 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
$ 56.000,,BOLIVAR 382,"Centro, Córdoba",12,12,1,,,40 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
$ 58.800,,Polo Judicial – Penal [Tribunales II],"Güemes, Córdoba",15,15,,,,A estrenar,,,,1,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
$ 59.000,,Mariano Larra ,"URCA, Córdoba",80,60,3,1,2,1 años,,,,1,,,True,True,True,,True,,True,,True,,True,,,,,True,,,,True,,True,,,,,,True,,,,,,,,,,,True,,Cordoba
$ 60.000, $ 9.000,Av Colón 250,"Centro, Córdoba",,25,1,,,35 años,,,Luminoso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,Cordoba
$ 60.000,,San Jeronimo 177,"Centro, Córdoba",100,100,,2,,1 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
$ 60.000,,FAUSTINO ALLENDE 863,"Cofico, Córdoba",100,100,10,2,,2 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
$ 60.000, $ 60.000,Rosario de Santa Fe al 200,"Centro, Córdoba",25,25,,,,10 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
$ 60.000, $ 25.700,Rivera indarte 72,"Centro, Córdoba",30,27,3,,2,50 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
$ 60.000,,Obispo Trejo  1200,"Nueva Córdoba, Córdoba",15,15,,,,,,,,1,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
$ 65.000,,AV FIGUEROA ALCORTA 463,"Centro, Córdoba",50,50,3,,2,10 años,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,Cordoba
$ 65.000, $ 55.000,av. Colon 335,"Centro, Córdoba",55,55,2,1,,20 años,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,True,,,Cordoba
